ts	phase	decision	why	evidence	result
2026-09-16T15:41:07Z	frame	treated the ArcGIS layer as qualification evidence rather than a replacement live adapter	the layer can enumerate a current window but does not expose the complete plan domain	docs/plan.md; Birmingham ArcGIS layer 12	blocked receipt required before any promotion
2026-09-16T15:41:07Z	investigation	separated current maximum date from population freshness	the layer reaches 15 September 2026 but recent counts fall sharply from the 2025 and July 2026 baseline	calendar 2025, July 2026, August 2026, and rolling 30-day count responses	freshness not proven
2026-09-16T15:41:07Z	investigation	rejected null decision fields as an older-open predicate	historical null-decision rows include issued post-decision work, completed appeals, enforcement, and master-plan records	group statistics and oldest-record samples	older-open enumeration not proven
2026-09-16T15:41:07Z	investigation	recorded child sections as not exposed rather than empty	layer metadata has no attachments or relationships and its fields omit documents, comments, conditions, and consultations	layer metadata response	required section completeness not proven
2026-09-16T15:41:07Z	design	kept ArcGIS qualification local to Birmingham	the source contract and its semantic gaps do not justify a generic ArcGIS collection abstraction	tests/test_birmingham_qualification.py; scripts/qualify_birmingham.py	one authority-owned fail-closed command
2026-09-16T15:41:07Z	safety	blocked synthetic Northgate routes outside fixture mode	fixture HTML is not evidence for a working live contract	src/yimby/authorities/birmingham/adapter.py	non-fixture discovery and detail reject before transport
2026-09-16T15:55:43Z	verification	completed the paced live ArcGIS evidence pass	fourteen responses proved exact 30-day count and page agreement while retaining all raw bodies and requesting no attachments	.yimby/qualification-birmingham-2026-09-16/birmingham-qualification-v1.json; sha256 63daae21f5823419b0f00b7d77699126cfcb7eadf329434340355f4a8028d8a9	BLOCKED receipt persisted; 70 records across 3 pages; 0 attachment requests
2026-09-16T15:55:43Z	verification	recomputed the full receipt from retained evidence without network access	the typed query inventory reproduced source, recent-window, and older-open facts and SQLite and evidence integrity both passed	scripts/qualify_birmingham.py replay_persisted_state	VERIFIED; request_count 0
2026-09-16T15:55:43Z	acceptance	kept Birmingham blocked after live qualification	the current latest record and bounded window do not resolve the future accepted date, volume decline, older-open ambiguity, active appeals, or missing child sections	docs/authorities/birmingham.md; docs/pilot-acceptance.md	no promotion; weekly cycles remain pending
2026-09-16T16:06:15Z	review	independent review found three receipt-boundary defects	the command did not recompute facts before publication, unavailable sections carried zero counts, and page dates lacked window and recency validation	independent review against f97da6c	OPEN until corrected and re-reviewed
2026-09-16T16:06:15Z	remediation	republished the receipt from the original retained live responses	the corrected command performs a full pre-publication replay, omits counts for unavailable sections, validates every received date, and requires a one-day recency threshold	.yimby/qualification-birmingham-2026-09-16/birmingham-qualification-v1.json; sha256 3cadc04df74d61e34580f55faa1d1b4e417efc5f14f3a0a17a5f39c63ce5ed58	VERIFIED offline from 14 original evidence bodies; prior receipt hash superseded
2026-09-16T16:17:12Z	review	second independent review found three counterevidence defects	historical dates bypassed validation, added schema fields could invalidate claimed gaps, and sample evidence could violate the query predicates	independent review against 371da3e	OPEN until corrected and re-reviewed
2026-09-16T16:17:13Z	remediation	validated the original retained counterevidence more strictly	the qualifier exact-matches the observed schema, parses all grouped and sample dates, and rejects predicate-incoherent issued, unresolved, appeal, or type rows	commits 4567562 and 291602d; receipt sha256 3cadc04df74d61e34580f55faa1d1b4e417efc5f14f3a0a17a5f39c63ce5ed58	VERIFIED offline from the same 14 original evidence bodies; receipt payload unchanged
2026-09-16T16:29:54Z	review	third independent review found five remaining claim-boundary defects	execution freshness, semantic schema details, complete sample keys, terminal appeal values, strict receipt fields, and reference structure were not all enforced	independent review against 8575f33	OPEN until corrected and re-reviewed
2026-09-16T16:29:55Z	remediation	hardened every remaining claim boundary	the qualifier ties recency to execution time, exact-matches field and capability semantics, requires complete projected samples and terminal appeals, rejects unknown receipt claims, and validates Birmingham reference syntax	commits 228f203 and ce8ad40; receipt sha256 3cadc04df74d61e34580f55faa1d1b4e417efc5f14f3a0a17a5f39c63ce5ed58	VERIFIED offline from the same 14 original evidence bodies; receipt payload unchanged
2026-09-16T16:38:45Z	review	fourth independent review found four historical-coherence defects	null-decision samples, clock direction, issued-date bounds, and historical reference syntax were not fully reconciled with the aggregate claims	independent review against a5431dc	OPEN until corrected and re-reviewed
2026-09-16T16:38:46Z	remediation	reconciled historical samples with their aggregate evidence	the qualifier requires null decision dates, rejects execution before the scope or evidence date, bounds issued dates between received date and scope end, and validates every historical reference	commits b375c28 and 97e5787; receipt sha256 3cadc04df74d61e34580f55faa1d1b4e417efc5f14f3a0a17a5f39c63ce5ed58	VERIFIED offline from the same 14 original evidence bodies; receipt payload unchanged
2026-09-16T16:46:56Z	review	fifth independent review found one replay-only scope defect	a modified persisted scope could self-confirm while replay used the original fixed query dates	independent review against f7d6cfb	OPEN until corrected and re-reviewed
2026-09-16T16:46:57Z	remediation	centralized the exact dated scope invariant	both live qualification and retained-evidence replay now reject any scope not encoded by the ArcGIS query inventory	commits 5343488 and 2c89b74; receipt sha256 3cadc04df74d61e34580f55faa1d1b4e417efc5f14f3a0a17a5f39c63ce5ed58	VERIFIED offline from the same 14 original evidence bodies; receipt payload unchanged
