ts	phase	decision	why	evidence	result
2026-09-16T08:47:19Z	frame	Set completion to a live 30-day bootstrap plus complete older-open enumeration, durable evidence, a coherent versioned receipt, a zero-request rerun, every repository gate, and a fresh NO COMMENTS review	Every condition is observable and the task forbids a readiness claim when any condition fails	docs/plan.md, docs/pilot-acceptance.md, user request	open
2026-09-16T08:47:19Z	baseline	Ran the existing IDOX live test module before changing Durham	The focused suite records the starting behavior and exposes the unsupported older-open boundary	tests/test_idox_live.py	210 tests passed; the focused run alone does not meet the repository-wide coverage threshold
2026-09-16T08:47:19Z	portal	Kept Durham older-open discovery blocked pending current official-form evidence	West Suffolk status values are portal-owned and cannot prove Durham completeness	docs/authorities/durham.md, src/yimby/authorities/durham/adapter.py	open; the official advanced-search request timed out after 40 seconds
2026-09-16T08:51:58Z	portal	Stopped before adapter implementation and live collection	The official council page returned HTTP 200, while the Public Access host timed out on ports 80 and 443; neither the exact received-date route nor a complete older-open inventory could be observed	.yimby/qualification-durham-2026-09-16/durham-qualification-blocker-v1.json	BLOCKED; no receipt and no readiness promotion
2026-09-16T08:51:58Z	cycles	Left both weekly refresh cycles pending	Same-day reruns and simulated dates do not satisfy the acceptance ledger	docs/pilot-acceptance.md	first and second weekly refresh pending
2026-09-16T08:55:27Z	verification	Ran every configured repository gate on the blocker record and documentation	A blocked live result must not leave the branch with unrelated failures	uv lock --check; uv sync --locked; ruff check; ruff format --check; strict mypy; 338 tests; scripts/verify_pilot.py; uv build --no-sources; both pre-commit stages; git diff --check	VERIFIED; 338 tests and 100% branch coverage
2026-09-16T16:12:00Z	source-audit	Exhausted official Durham machine-readable alternatives before resuming IDOX	A first-party feed could replace fragile portal automation only if it proved identifiers, freshness, the rolling window, and every older-open case	Durham planning pages and sitemap; spatial.durham.gov.uk ArcGIS 10.91 catalogue and every MapServer layer; Durham Data Mill North listings; Planning Data provider metadata	No qualifying planning-application API, feed, GIS layer, export, or dump exists; the official IDOX register remains the only complete candidate
2026-09-16T16:18:00Z	portal	Revalidated the recovered live advanced form and secure transport boundary	The live form, not West Suffolk values or an old guide, must own status, case-type, date, method, CSRF, and pagination semantics	publicaccess.durham.gov.uk advanced form; system-trust HTTP probe; commits d8ea577 and 04dbdbc	HTTP 200; exact form captured; incomplete server chain validates through the operating-system trust store without disabling TLS verification
2026-09-16T16:28:00Z	partitioning	Built the older-open inventory from every potentially open status and every authoritative application type	Pending Consideration exceeded the portal cap and FPA still exceeded it, so completeness required source-validated received-date subpartitions rather than a truncated result	80 advanced queries for 2026-09-16 plus 10 weekly queries; live type and date probes at two-second host cadence	Every partition returned a count, explicit zero, single-detail redirect, or bounded pager; any future cap or malformed marker fails closed
2026-09-16T16:36:00Z	implementation	Accepted the durable Durham qualification boundary after deterministic verification	The command must prove the exact 30-day scope, older-open inventory, checkpoint coherence, evidence paths, section health, metadata-only attachments, and immediate zero-request rerun	scripts/qualify_durham.py; tests/test_idox_live.py; commits 04dbdbc and 51e266c	VERIFIED in fixtures; 345 tests and 100% branch coverage before the live run
