ts	phase	decision	why	evidence	result
2026-09-16T08:43:05Z	frame	required a complete 30-day bootstrap plus older-open discovery before Leeds can qualify	the plan defines both sets as one bootstrap boundary	docs/plan.md; docs/pilot-acceptance.md	weekly-only Leeds discovery is NOT VERIFIED for live bootstrap
2026-09-16T08:43:05Z	frame	kept two later weekly refresh cycles pending	same-day reruns cannot prove checks approximately 7 and 14 days later	docs/pilot-acceptance.md	operational qualification remains pending
2026-09-16T08:43:05Z	baseline	ran the existing IDOX live contract tests before changing Leeds	the starting behavior and test health must be visible before the red commit	uv run pytest tests/test_idox_live.py	210 tests passed; the focused run failed only the repository-wide 100 percent coverage gate
2026-09-16T08:57:41Z	investigation	accepted validated-date and decision-date advanced searches as the bounded 30-day reconciliation paths	the official form exposed both exact date pairs and both queries returned counted pagination	Leeds advanced form digests 1e6379d3 and 3338833a	VERIFIED with 511 validated and 573 decided results at observation time
2026-09-16T08:57:41Z	investigation	rejected one unpartitioned Current query for older-open enumeration	the official portal returned its own too-many-results error	Leeds Current response digest dd3605da	NOT VERIFIED as one query; portal requested more parameters
2026-09-16T08:57:41Z	design	partitioned Current applications by every non-empty portal-owned application type and kept Appeal lodged as a separate active-appeal query	the application-type select is the form's exhaustive taxonomy and includes Unknown, while every one of the 30 observed partitions stayed below the cap	Leeds advanced form digests 91c62b2a and 5a51cefa	VERIFIED for the observed form inventory; adapter must fail on taxonomy drift or a capped partition
2026-09-16T08:57:41Z	investigation	accepted successful Leeds summary and document metadata boundaries	the official detail published a matching reference table and one complete metadata table with three attachment links that were not opened	Leeds detail digests 98aac58f and c1e0a700	VERIFIED for one current record; zero attachment-body requests
2026-09-16T08:57:41Z	investigation	kept public comment text unavailable rather than inferring a complete comment collection	the successful record exposed the comment tabs and an explicit no-comments outcome for that record, but Leeds does not publish public comment text as a general source	docs/authorities/leeds.md; Leeds neighbour comment digest 94223397	VERIFIED empty only for the observed record; authority payload will report comment text unavailable
2026-09-16T10:15:00Z	architecture	selected Candidate A as the corrected base and grafted Candidate B's typed inventory plus full identity-set proof	the independent arena judge found A closer to current collector and public store APIs, while both candidates needed weekly, taxonomy, document, and optional-field corrections	.audit/leeds-live-qualification-design.md; /private/tmp/leeds-architect-judge/verdict.md	typed query design fixed; unindexed discovery-evidence wrapper and page-proof overbuild rejected
2026-09-16T10:18:00Z	architecture	corrected the synthesized inventory count from 42 to 43	the exact terms are 10 weekly plus 2 advanced date plus 30 Current case-type plus 1 Appeal lodged query	the investigated 30-value case-type inventory and five intersecting Mondays	judge arithmetic typo rejected before implementation
2026-09-16T10:24:00Z	red	added behavior tests for the exact Leeds query inventory, taxonomy drift, cap handling, and terminal zero-I/O rerun	the existing adapter must demonstrate its missing older-open boundary before production changes	uv run pytest --no-cov tests/test_leeds_qualification.py	4 intended failures at LeedsOpenEnumerationUnsupportedError
2026-09-16T10:34:00Z	green	implemented the typed 43-query bootstrap, exact advanced-form boundary, cap error, identity-safe checkpoint, and terminal fast path	the official case-type union is the only proven bounded older-open partition and terminal reruns must not fetch either form	uv run pytest --no-cov tests/test_idox_live.py tests/test_leeds_qualification.py	214 passed; Ruff and git diff checks passed
2026-09-16T10:42:00Z	red	added successful Leeds summary, optional-field, six-cell document, empty-table, failed-section, identity, and attachment-avoidance tests	the recorded remote exception is no longer the only official detail outcome and metadata completeness must be explicit	uv run pytest --no-cov tests/test_leeds_qualification.py	5 intended failures at LeedsDetailUnverifiedError; 4 discovery tests remained green
2026-09-16T10:50:00Z	green	implemented Leeds summary identity, optional native fields, exact six-cell document metadata, explicit section states, unavailable comments, and leeds-v2 normalisation	only summary and document-index evidence is needed; attachment and comment routes remain outside the collection boundary	uv run pytest --no-cov tests/test_idox_live.py tests/test_leeds_qualification.py	219 passed; focused strict mypy and Ruff passed
2026-09-16T11:01:00Z	red	added exact 30-day CLI, typed receipt, 43-query totals, full durable-set proof, pending weekly cycles, failed-section rejection, and zero-I/O rerun tests	the qualification artifact must prove same-day invariants without claiming the future weekly cycles	uv run pytest --no-cov tests/test_leeds_qualification.py	3 intended failures because scripts/qualify_leeds.py did not exist; 9 adapter tests remained green
2026-09-16T11:12:00Z	green	implemented the Leeds qualification command and versioned receipt with exact inventory, full identity-set equality, retained evidence rehashing, pending cycles, and zero-network rerun	the receipt is written only after all same-day invariants pass and never promotes LIVE_READY	uv run pytest --no-cov tests/test_idox_live.py tests/test_pilot.py tests/test_leeds_qualification.py	254 passed; focused strict mypy, Ruff, and git diff checks passed
2026-09-16T11:20:00Z	live	stopped on the first queued summary because the official validated date included a weekday prefix	the adapter failed closed on an unrecorded date rendering instead of dropping or guessing the value	official summary for 26/03210/TR; parse-date-application-validated	BLOCKED until the observed Wed 19 Aug 2026 rendering has a regression and parser support
2026-09-16T11:23:00Z	green	added the official weekday-prefixed Leeds date format	the exact Wed 19 Aug 2026 rendering is now parsed without weakening other date validation	test_leeds_accepts_observed_weekday_date_rendering	regression passed and qualification can resume from page 2 of the first weekly query
2026-09-16T11:32:00Z	live	observed repeated transient 503, remote-exception, and blank summary shells while the durable queue and page checkpoint continued to converge	the HTTP transport retries status failures, but the portal also returns retryable error bodies with HTTP 200	pending references 26/04587/COND, 26/04633/TR, and 26/04590/TR	add a bounded adapter retry for the verified transient summary shells before continuing the long run
2026-09-16T11:36:00Z	green	added three-attempt summary-body retries for the portal's HTTP-200 remote-exception and blank shells	the transport already bounds HTTP status retries; this authority-local loop covers only verified body-level transient outcomes	test_leeds_retries_a_transient_summary_shell	regression passed while persistent shells still fail closed
2026-09-16T11:40:00Z	live	set the qualification session to the transport's built-in maximum of five HTTP attempts	the portal exhausted the default three attempts on otherwise valid records; five stays bounded and preserves the minimum two-second host gap	pending references 26/04565/TR and 26/04590/TR	qualification remains fail-closed after the fifth status attempt
2026-09-16T11:47:00Z	red	added a qualification-level transient recovery regression	distinct valid records can exhaust separate HTTP sessions while the durable queue still makes progress; recovery must remain bounded per reference and by no-progress attempts	test_leeds_qualification_recovers_a_bounded_transient_detail	intended failure with exit 1 before qualification-level recovery exists
2026-09-16T11:52:00Z	green	added fresh-session recovery bounded at three failed attempts per reference and three consecutive no-progress failures	the qualification can persist across distinct portal transients while every failed run and retry attempt remains durable	test_leeds_qualification_recovers_a_bounded_transient_detail	failed plus two succeeding run statuses are retained and the receipt still requires the final two successes
2026-09-16T12:06:00Z	live	stopped at the final page of the first weekly query because Leeds exposed a stale hidden page-one input beside a canonical visible page 12	the response showed 111-116 of 116 with six rows and a selected capacity of 10; the old parser trusted the stale hidden input	official weekly query 17 Aug 2026 DC_Validated page 12	add a behavior regression and use the canonical visible pager, matching the hardened West Suffolk parser
