ts	phase	decision	why	evidence	result
2026-09-16T08:49:48Z	frame	set LIVE_READY and a passing qualification receipt as separate outcomes	two later weekly refreshes cannot be completed today and must remain pending	docs/pilot-acceptance.md	LIVE_READY requires every same-day qualification check; operational qualification remains pending
2026-09-16T08:49:48Z	portal	changed the target from the maintained Northgate host to the council-linked Citizen portal	the council planning page now links the working service and the old documented host still returns maintenance	https://www.blackburn.gov.uk/planning/planning-applications/search-planning-application	verified current official source
2026-09-16T08:49:48Z	design	rejected the 30-row latest-applications page as the older-open inventory	it includes decided rows and exposes no total or pager	https://online.blackburn.gov.uk/planning/index.html?fa=getApplications	NOT VERIFIED as complete
2026-09-16T08:49:48Z	design	use exact date-form queries with recursive splitting and fail on a 30-row single day	the received-date form returned no rows with slash dates and exactly 30 rows with the portal's hyphen dates	https://online.blackburn.gov.uk/planning/index.html?fa=search	query boundary verified; completeness strategy still unproved live
2026-09-16T08:54:21Z	discovery-red	added behavior tests for query inventory, cap splitting, older-open filtering, and a zero-network terminal rerun	the query state is the foundation for every later collection check	tests/test_blackburn_live.py	three tests fail because the production types and behavior do not exist
2026-09-16T08:56:03Z	discovery-red	added boundary tests for invalid ranges, malformed tables, duplicate references, and counts above the observed cap	ambiguous source data must fail before a checkpoint advances	tests/test_blackburn_live.py	nine tests fail on missing production behavior
2026-09-16T09:04:39Z	discovery-green	implemented typed query inventory, bounded splitting, older-open filtering, strict parsing, and terminal replay	complete enumeration requires an explicit checkpoint graph and fail-closed source validation	src/yimby/authorities/blackburn_with_darwen/adapter.py	350 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:08:14Z	detail-red	added live detail, document metadata, locator agreement, malformed shape, and explicit empty tests	detail collection must prove source identity and enumerate metadata without requesting attachment bodies	tests/test_blackburn_live.py	three tests fail because fetch still uses the obsolete fixture route and live detail types do not exist
2026-09-16T09:11:35Z	detail-green	implemented strict detail and document-table parsing with typed metadata, unavailable comments, locator agreement, and v2 normalisation	the public page exposes document metadata inline, so collection never activates a download link	src/yimby/authorities/blackburn_with_darwen/adapter.py	365 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:13:18Z	page-object-red	added exact POST form, hyphen-date, pacing, detail-only navigation, form-drift, and factory tests	browser automation must preserve the observed portal semantics and rate boundary without attachment actions	tests/test_blackburn_page_object.py	test collection fails because the authority-owned page object does not exist
2026-09-16T09:15:46Z	page-object-green	implemented guarded exact-form and detail navigation with an unconditional two-second pre-request pacer	the page object validates method, action, hidden values, field names, route identity, and never activates document links	src/yimby/authorities/blackburn_with_darwen/page_object.py	375 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:18:28Z	qualification-red	added persisted success and blocked receipt tests, exact 30-day safety scope, checkpoint inventory, zero-network replay, and pending weekly-cycle assertions	a qualification result must be typed, durable, fail closed, and distinguish same-day proof from later operational evidence	tests/test_blackburn_qualification.py	three tests fail because the Blackburn qualification command does not exist
2026-09-16T09:21:09Z	qualification-green	implemented an atomic typed qualified-or-blocked receipt with exact query-tree validation, cost accounting, integrity checks, and zero-network replay	readiness evidence must be durable and a failed live attempt must overwrite no facts with a success claim	scripts/qualify_blackburn_with_darwen.py	378 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:23:14Z	live-form-red	added a regression for hidden controls whose absent value attribute still submits an empty value	the official rendered form omits both value attributes, so attribute absence is distinct from non-empty drift	https://online.blackburn.gov.uk/planning/index.html?fa=search	one focused test fails with BlackburnPageObjectFormError
2026-09-16T09:23:55Z	live-form-green	accepted absent or explicit-empty hidden value attributes while continuing to reject non-empty values	both observed DOM forms encode the same empty POST semantics	src/yimby/authorities/blackburn_with_darwen/page_object.py	379 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:27:28Z	browser-challenge-red	added regressions requiring visible Chromium and a bounded wait for the challenged form	headless Chromium receives HTTP 403 IDX005 while visible Chromium receives a 202 JavaScript challenge and exposes the form after about ten seconds	https://online.blackburn.gov.uk/planning/index.html?fa=search	five focused assertions fail because the boundary is headless and validates before the challenge completes
2026-09-16T09:28:28Z	browser-challenge-green	made browser visibility configurable, selected visible Chromium only in the Blackburn page object, and waited up to twenty seconds for the challenged form	the authority-local choice preserves the shared guarded boundary and exact portal semantics	src/yimby/authorities/blackburn_with_darwen/page_object.py	379 tests pass with 100% branch coverage; targeted Ruff and mypy pass
2026-09-16T09:30:30Z	live-hidden-red	added a regression for the visible-browser hidden discriminator pair fa=search and submitted=true	the official service exposes this pair after its challenge while the in-app browser exposes a valueless pair; the page object leaves both pairs untouched	https://online.blackburn.gov.uk/planning/index.html?fa=search	one focused test fails because only the valueless pair is accepted
