ts	phase	decision	why	evidence	result
2026-09-16T08:46:32Z	frame	set the completion predicate to the Devon receipt checks, full repository gates, and an exact clean independent review	the live claim must be falsifiable and the two later weekly cycles cannot be completed today	docs/plan.md; docs/pilot-acceptance.md	LIVE_READY prohibited unless every same-day check passes; weekly cycles pending
2026-09-16T08:46:32Z	baseline	ran the complete test suite before changing Devon	the pre-change state must be known before red and green units begin	uv run --frozen pytest at df2e4d4	338 tests passed with 100% branch coverage
2026-09-16T08:58:00Z	design	selected the smaller authority-local architecture with a typed linear checkpoint and observable replay proofs	the official portal exposes three queries and canonical pager links but no displayed total or row range	/private/tmp/devon-architecture-2026-09-16/synthesis/design.md; judge/verdict.md	candidate A base accepted with candidate B replay, audit, and atomic receipt grafts; both candidates rejected unchanged
2026-09-16T09:31:00Z	implementation	completed the adapter and qualification red-green units	the exact form, received and determined windows, outstanding pagination, singleton detail, replay, receipt, and zero-I/O behavior must remain executable contracts	commits 5ca1652, 2e3e097, f3c69b5, cfcc632	343 repository tests passed with 100% statement and branch coverage before live execution
2026-09-16T09:42:04Z	live-qualification	completed the first persisted official Devon bootstrap	the terminal receipt passed exact query, durable set, store, evidence, retry, section, mapping, attachment, idempotence, and run-state checks	.yimby/qualification-devon-2026-09-16/devon-qualification-v1.json	56 unique applications; 68 requests; 6648256 bytes; 0 attachment bodies; built-in rerun 0 requests and 0 bytes
2026-09-16T09:43:00Z	remediation	made a later terminal resume preserve the original first-pass receipt	the first external resume correctly used no network but replaced the richer live cost record with zeros	commits da6e885 and 6da9da9	red regression and green atomic preservation; superseded live directory retained separately during rebuild
2026-09-16T09:48:00Z	verification	rebuilt the mandated qualification path and repeated the terminal resume	the persisted proof must retain the official first-pass costs while independently demonstrating immediate zero-network behavior	SHA-256 77612131ebd5cc1b3bb6de33e2d9986d4df22888d21d205c0d675c818017fe3d	all 12 checks true; receipt byte-identical after resume; weekly cycles due 2026-09-23 and 2026-09-30 remain pending; no LIVE_READY promotion
2026-09-16T09:53:12Z	cleanup	completed repository gates and removed obsolete rolling-window clock state	the advanced-search adapter no longer depends on a synthetic current date, and a preserved receipt must match the current check, run-status, and weekly-cycle tuple	commit eea2b09; uv run --frozen pytest; ruff check; ruff format --check; mypy	343 tests; 6088 statements and 1566 branches at 100% coverage; lint, format, and strict typing clean
2026-09-16T10:09:45Z	remediation	closed all five first-review findings with red-green regressions	intra-query page overlap, off-origin protected requests, unregistered evidence, stale registry claims, and a new type suppression could weaken the qualification proof	commits 1a57fdf and 43a2dda; tests/test_contract_live.py; tests/test_operations.py; tests/test_runtime.py	344 tests; 6137 statements and 1582 branches at 100% coverage; outbound routes and receipt evidence now fail closed
2026-09-16T10:09:45Z	verification	replayed the persisted qualification through the strengthened evidence check	the current code must validate the live database and evidence tree without replacing first-pass cost proof or issuing new requests	SHA-256 77612131ebd5cc1b3bb6de33e2d9986d4df22888d21d205c0d675c818017fe3d	receipt byte-identical after resume; all 12 checks true; weekly cycles remain pending; LIVE_READY unchanged
